ID,Collection_year,Genus,Open_nomenclature,Species,Dataset,SV_ratio,S,K_mean,K_var,K_skew,K_kurt,H_mean,H_var,H_skew,H_kurt,k2_mean,k2_var,k2_skew,k2_kurt,k1_mean,k1_var,k1_skew,k1_kurt,K_tip_mean,K_tip_var,K_tip_skew,K_tip_kurt,H_tip_mean,H_tip_var,H_tip_skew,H_tip_kurt,k2_tip_mean,k2_tip_var,k2_tip_skew,k2_tip_kurt,k1_tip_mean,k1_tip_var,k1_tip_skew,k1_tip_kurt,FD,br_length_mean,br_length_var,br_rate_mean,br_rate_var,br_spacing_v1_mean,br_spacing_v1_var,br_spacing_v2_mean,br_spacing_v2_var,da_mean,da_var,db_mean,db_var,dc_mean,dc_var,b_angle_mean,b_angle_var,da_avg_mean,d_avg_var
15Oki12,2015,Acropora,aff.,bifurcata,Testing,8.22376662,0.150834263,-14.66045902,97292.69602,0.969432312,8.249425678,1.677731776,142.2646467,0.018203411,3.302860578,-10.3033138,196.2770976,-0.615925363,3.446866387,13.52998727,197.4486012,0.657425813,3.371438494,-7.415305014,165340.1034,0.805499663,8.125084011,4.193992359,174.7032477,-0.217176047,3.403305866,-9.005947081,271.0576888,-0.741874427,3.384014191,17.23176356,225.3334676,0.61045449,3.496223004,2.332419889,0.72219137,0.146352979,0.604824973,0.094036429,0.487922192,0.021822185,0.578903799,0.031882901,0.485477259,0.020053873,0.302664517,0.004798833,0.258677016,0.003353041,1.360570103,0.090279758,0.4585214,0.022565093
15Oki13,2015,Acropora,aff.,hyacinthus,Testing,5.439675075,0.200719238,-12.10183393,74047.57764,0.795915832,7.891119169,1.271589047,122.9204009,0.106687332,3.37202381,-9.604495466,175.1891809,-0.626165767,3.481718598,12.07379054,170.2569234,0.721190526,3.439332292,-8.794634954,109414.2058,0.737762503,7.225729247,2.705582167,153.209184,-0.062443014,3.161778497,-9.496000983,221.9574574,-0.617301314,3.311996632,14.80608037,199.6495682,0.546324551,3.222094083,2.373288823,0.725448046,0.164930534,0.600321547,0.101377888,0.492825,0.03178609,0.62604246,0.027744751,0.692459373,0.056789913,0.437728296,0.036911971,0.398091611,0.040504501,1.357816011,0.147220069,0.57935592,0.070550409
15Oki14,2015,Acropora,aff.,bifurcata,Testing,7.587367222,0.213151018,-15.12482497,59017.60267,1.008973978,7.763907604,1.484333126,111.333731,0.048705695,3.28839208,-9.369374155,147.6985091,-0.535180898,3.300281881,12.2461335,157.1909702,0.611569639,3.282596489,-2.622173781,115566.3345,0.862665571,6.851602931,4.046530877,156.8771279,-0.167512326,3.136323967,-8.63410384,218.8340984,-0.547902458,3.072174451,16.6344709,204.1604657,0.399048062,3.085454992,2.294327292,0.724544018,0.171699036,0.576147458,0.088181013,0.448968127,0.020660942,0.540276306,0.028801499,0.460841689,0.016400811,0.299605001,0.007344881,0.255679151,0.008643562,1.411461189,0.129330811,0.432928844,0.015415985
15Oki15,2015,Acropora,aff.,hyacinthus,Testing,4.278152058,0.234120371,-16.67935509,59499.63044,1.125576581,10.28120253,0.613762055,102.5020172,-0.176817647,4.118719072,-9.337686484,152.178207,-1.062137433,4.377678261,10.5067541,149.9473964,0.854796418,3.889634326,-15.00957617,158325.0222,1.146626832,8.254679741,2.146452663,183.517154,-0.113796243,3.323870514,-11.25320052,248.2076787,-0.605120493,3.24899104,15.4506494,251.6068592,0.517630948,3.191349611,2.352845806,0.921422061,0.287687777,0.756885132,0.17099374,0.565169264,0.034341662,0.701866665,0.029753301,0.795277271,0.05164158,0.469366343,0.021768184,0.41126943,0.025381661,1.243222097,0.133986134,0.858204998,0.108592563
15Oki16,2015,Acropora,aff.,bifurcata,Testing,6.400209388,0.24130965,-13.73713133,91411.79776,1.008622671,9.004103487,1.125293504,131.7650799,-0.038754813,3.613723073,-10.10506302,188.0222785,-0.807581192,3.767080593,12.29435962,189.0199752,0.721184873,3.44549955,-12.77261617,208823.2391,0.788437906,7.666074978,2.59099281,204.9103753,-0.194156164,3.223700816,-11.3745727,303.5279087,-0.636608314,3.133098349,16.47381195,263.4676719,0.437212318,3.170335722,2.327165654,0.705417196,0.164054099,0.565348212,0.084949302,0.418261238,0.019203871,0.525423623,0.026117524,0.523533796,0.025347594,0.348705817,0.014440808,0.305044341,0.011305235,1.349774236,0.138569471,0.374714476,0.040070554
15Oki17,2015,Acropora,aff.,hyacinthus,Testing,7.317839997,0.196477879,-11.90240063,70738.29504,0.884414321,8.267580775,1.49596046,119.3798137,0.088762585,3.445674269,-9.25204273,168.5534202,-0.666129227,3.52582608,12.12443669,170.4168979,0.783375876,3.547647234,-10.83933691,198413.6346,0.915407643,7.548152986,3.414479843,205.9764324,-0.185186371,3.132652957,-10.9349491,290.7727485,-0.529248767,3.020227512,17.62192749,265.1756427,0.445250833,3.193313669,2.357692697,0.945075484,0.282255899,0.782035199,0.174120358,0.591091839,0.029471207,0.66933758,0.022628252,0.549110063,0.02098222,0.374726088,0.005597026,0.304669201,0.002805441,1.314233039,0.118905852,0.501908583,0.023681275
15Oki19,2015,Acropora,aff.,cytherea,Testing,6.497754127,0.169415052,-8.304707741,20824.72134,0.963200791,9.228690062,1.657455948,64.10393467,0.263756294,3.656139031,-6.413021723,84.4627647,-0.745655599,3.926252559,9.670869526,100.0033989,0.971163894,4.004793022,-1.669904274,31298.84331,1.031720047,8.442235949,2.920308495,79.40824779,0.283781764,3.390518953,-5.938287232,101.7361533,-0.607051384,3.716557265,11.70266578,121.7512734,0.869354294,3.678840783,2.389967642,0.792574178,0.254476484,0.658313707,0.1659358,0.454974646,0.033852253,0.597363964,0.046257558,0.510412151,0.054387578,0.324856255,0.020056606,0.252709455,0.02415739,1.335807846,0.147132355,0.486021748,0.047362041
15Oki21,2015,Acropora,aff.,hyacinthus,Testing,8.558406089,0.197856737,-13.16893757,71571.33559,0.933135617,7.663847571,1.725407027,122.0661731,0.127561855,3.280059159,-9.424375713,164.7589906,-0.526588803,3.334974358,12.77613555,172.2501679,0.67072368,3.293291224,-9.870548161,159019.83,0.776091145,6.661609479,3.554053789,186.1957116,-0.145722256,3.06550678,-10.17167372,258.8655161,-0.483195491,2.944379911,17.17979834,240.229939,0.368838692,3.082932822,2.307572489,0.716395099,0.167574107,0.613352821,0.114203338,0.490247979,0.029426644,0.600621422,0.039653889,0.470471141,0.008742393,0.325389476,0.004734876,0.292228923,0.002813204,1.302303585,0.08760369,0.447421396,0.010842417
15Oki22,2015,Acropora,aff.,bifurcata,Testing,7.199261997,0.146232864,-16.9294099,64787.34498,1.021126678,9.432410127,1.798095032,111.8596749,0.118661269,3.548593379,-8.992887736,149.5709153,-0.763410485,3.884332132,12.46781864,171.6563337,0.87634069,3.785489888,-6.970044112,123680.3801,0.98380683,9.195717212,4.643602408,147.1219329,-0.000447536,3.495305677,-7.745626966,213.0296192,-0.781422092,3.783346939,16.87566837,213.120218,0.820113366,3.711332799,2.37583492,0.718837807,0.151525347,0.598755198,0.094398777,0.449480259,0.021221349,0.52107692,0.022481968,0.476156901,0.031693447,0.283341114,0.006778864,0.224288808,0.005510359,1.352506082,0.108005753,0.432925575,0.038726688
15Oki23,2015,Acropora,aff.,bifurcata,Testing,7.566616197,0.194363697,-10.98246384,62349.1824,0.875653088,8.013579802,1.601982048,116.3660332,0.104446385,3.2738803,-9.182505539,158.7674804,-0.596406685,3.401874213,12.31742274,163.2513478,0.716428487,3.462117388,-4.762136317,139059.4807,0.669785558,7.693931581,4.065856777,163.634991,-0.095503234,3.253168831,-8.666202662,245.5724151,-0.677294423,3.390592509,16.68936564,213.6788694,0.601668907,3.388592861,2.35877742,0.691273736,0.197349294,0.557020198,0.109147971,0.399979536,0.020084544,0.488267565,0.028528746,0.4284718,0.019022117,0.279185365,0.007284357,0.23381517,0.003362511,1.312574047,0.101063599,0.428459891,0.02278241
