"ID"	"Collection_year"	"Genus"	"Open_nomenclature"	"Species"	"Dataset"	"SV_ratio"	"K_kurt"	"H_mean"	"H_skew"	"K_tip_kurt"	"H_tip_kurt"	"k2_tip_skew"	"k1_tip_skew"	"br_length_mean"	"br_rate_mean"	"b_angle_mean"	"b_angle_var$x.t"	"br_length_var$x.t"	"br_rate_var$x.t"	"br_spacing_v1_mean$x.t"	"br_spacing_v1_var$x.t"	"br_spacing_v2_mean$x.t"	"br_spacing_v2_var$x.t"	"d_avg_var$x.t"	"da_avg_mean$x.t"	"da_mean$x.t"	"da_var$x.t"	"db_mean$x.t"	"db_var$x.t"	"dc_mean$x.t"	"dc_var$x.t"	"FD$x.t"	"H_tip_mean$x.t"	"H_tip_skew$x.t"	"H_tip_var$x.t"	"H_var$x.t"	"H_kurt$x.t"	"K_mean$x.t"	"K_skew$x.t"	"K_tip_mean$x.t"	"K_tip_skew$x.t"	"K_tip_var$x.t"	"K_var$x.t"	"k1_kurt$x.t"	"k1_mean$x.t"	"k1_skew$x.t"	"k1_tip_kurt$x.t"	"k1_tip_mean$x.t"	"k1_tip_var$x.t"	"k1_var$x.t"	"k2_kurt$x.t"	"k2_mean$x.t"	"k2_skew$x.t"	"k2_tip_kurt$x.t"	"k2_tip_mean$x.t"	"k2_tip_var$x.t"	"k2_var$x.t"	"S$x.t"
"15Oki01"	2015	"Acropora"	"aff."	"bifurcata"	"Testing"	5.373537957	8.510326268	1.204455523	0.029050398	8.206167392	3.391627264	-0.767704415	0.665239781	0.824492245	0.671123524	1.248672129	1.10019451422077	0.863362442011695	0.73127463368447	-0.327561490075168	0.373014815849775	-0.474511589931084	-0.0435101935569277	0.192163749942125	0.663783395153713	0.701323188387512	0.810074331626635	0.717650238259779	0.717650238259779	0.551806284538574	0.444057245903313	1.01352217269844	-0.591696181440478	-1.07185807450225	0.591696181440478	0.856191448532455	0.19820360165583	-0.25684646731159	-2.0481986310469	-0.305490425153152	-1.7539517044556	0.762191118784449	0.906134125372923	0.958446141010784	0.674489750196082	0.538191876638781	0.906134125372923	0.25684646731159	0.632550796424065	0.808298233997379	0.037185660628309	-0.906134125372923	-0.512775873815053	0.865910906670468	-0.674489750196082	0.762191118784449	0.958446141010784	-0.130693575976423
"15Oki02"	2015	"Acropora"	"aff."	"hyacinthus"	"Testing"	6.890714577	8.627484667	1.296672388	-0.00469776	7.519236431	3.219735131	-0.613559911	0.403771493	0.718585694	0.592067183	1.35187902	0.286010043426183	-1.09283131307756	-1.16466033658329	-0.591696181440478	-0.825414940190787	-0.856191448532455	-1.19176631353593	-0.530619601407642	-0.799251609414643	-0.471171856189873	-0.327607465475127	-0.153025230720712	-0.187394478615095	0.22198658770862	-1.03387164415022	1.44432118724339	-0.717650238259779	-1.82787997146209	1.01352217269844	0.632550796424065	1.00395319933616	-0.856191448532455	-0.153025230720712	-1.26857094474484	0.173370430138399	0.906134125372923	0.632550796424065	0.22198658770862	0.591696181440478	0.0749131218325249	-0.906134125372923	0.591696181440478	0.906134125372923	0.632550796424065	1.06650877206305	-0.76219111878445	-1.35419029119403	-0.201443692963446	-1.27388915415147	0.958446141010784	0.632550796424065	-1.78032210575803
"15Oki03"	2015	"Acropora"	"aff."	"bifurcata"	"Testing"	6.908932899	9.266665959	1.517997102	0.055663178	7.979538952	3.271513444	-0.537470892	0.490714894	0.718403332	0.589063279	1.347875518	-0.826902496117287	-1.5262831727258	-1.43942804614847	0.399955641095474	-1.13188466758746	-0.327561490075168	-0.71142487264599	-0.253925871575522	0.0778798614020697	-0.152538283397415	-0.303276102901067	-0.856191448532455	-1.82787997146209	-0.436929934194168	-1.23629125874663	-0.674489750196082	1.27388915415147	-0.808298233997379	0.674489750196082	0.399955641095474	1.10585323800053	-1.27388915415147	1.67164373801575	-0.0868748963749153	1.28886910265561	0.632550796424065	0.436929934194168	0.808298233997379	0.474511589931084	0.577584472790571	0.0508319147368236	1.54800280313833	0.762191118784449	0.399955641095474	0.762275074607751	-0.399955641095474	-0.632550796424065	-0.0808279127126661	-0.551806284538574	0.512775873815053	0.292021389082961	0.254020996352493
"15Oki04"	2015	"Acropora"	"aff."	"cytherea"	"Testing"	6.577527471	8.382630345	1.867117952	0.149381321	6.444023959	3.135007855	-0.697661333	0.545907856	0.811284735	0.665965016	1.248032492	-1.17168258866492	-0.268965493561845	-0.309738717851721	0.084784857149159	-1.68847845714553	-0.906134125372923	-1.09301808848501	-0.0586223432502773	-1.76397926136753	-0.330412907913759	-0.179466179247833	-0.76219111878445	-0.632550796424065	-0.632550796424065	-1.06381459224645	-0.0508319147368236	1.82787997146209	-0.512775873815053	-0.118835850403299	-0.084784857149159	0.316066074838955	0.0508319147368236	-0.591696181440478	1.51395525649706	-1.52918799971044	-0.118835850403299	-0.084784857149159	0.591696181440478	-0.0169374873298715	0.807199552961103	-0.153025230720712	0.36352034712513	-0.118835850403299	-0.084784857149159	1.04960436336842	0.084784857149159	-0.76219111878445	0.865501856972997	0.474511589931084	0.0169374873298716	-0.084784857149159	0.635039665794868
"15Oki05"	2015	"Acropora"	"aff."	"cytherea"	"Testing"	8.320104378	8.668721232	1.835433789	0.085884799	7.270892411	3.15627858	-0.528620425	0.595783502	0.780830389	0.645558737	1.356348378	-0.0501104307795332	0.218630374274137	0.419656064175526	-0.22198658770862	-0.571389083894704	-0.0169374873298715	0.543471937558689	-1.45916430455593	-0.757711366069756	-1.54188215430562	-1.23329331376185	-1.35419029119403	-1.54800280313833	-1.07185807450225	-1.13521389573021	-0.808298233997379	2.0481986310469	0.436929934194168	0.084784857149159	0.0169374873298716	0.756070507694604	-0.327561490075168	0.551806284538574	0.834683016202398	0.640962252684967	0.084784857149159	-0.0169374873298715	1.07185807450225	0.153025230720712	0.890338919630292	-0.36352034712513	0.474511589931084	0.187394478615095	0.084784857149159	0.830231153457576	-0.0169374873298715	-0.856191448532455	0.394565213915811	0.292021389082961	-0.118835850403299	0.0169374873298716	-0.263021073887208
"15Oki06"	2015	"Acropora"	"aff."	"bifurcata"	"Testing"	4.299378241	7.938041861	1.224477701	0.129260071	6.896514489	3.005513062	-0.402459275	0.451783024	0.766876511	0.62405298	1.268615359	-0.318592088655883	-0.0694913613581857	-0.355281106369667	-0.436929934194168	-0.219423612050742	-1.01352217269844	-0.398211211307483	1.19549900751518	1.27116560640776	1.13625369257764	1.24875915193877	0.551806284538574	0.22198658770862	0.808298233997379	0.0279532753832476	-1.54800280313833	-0.118835850403299	0.0508319147368236	0.25684646731159	-0.0508319147368236	-0.178031053920958	-0.118835850403299	0.153025230720712	-0.260352749021122	0.372711562511188	0.187394478615095	-0.0508319147368236	-0.22198658770862	-0.0508319147368236	-0.107358873788421	-1.82787997146209	0.153025230720712	0.22198658770862	-0.0508319147368236	-0.114200409075291	-0.0508319147368236	0.0508319147368236	-1.11989387142248	-0.436929934194168	0.187394478615095	-0.0508319147368236	2.02308311834608
"15Oki08"	2015	"Acropora"	"aff."	"bifurcata"	"Testing"	5.869711989	9.315803387	1.305677079	0.053409483	8.142020087	3.249449747	-0.57549113	0.580257827	0.831872392	0.671806534	1.281262394	-0.140112573369745	1.20085296650561	1.28176870567149	-0.474511589931084	0.452993626719218	-0.153025230720712	1.14554898163375	0.811553035782555	0.473140545472987	-0.0527834480501356	0.537211447580467	-0.0508319147368236	0.153025230720712	-0.0169374873298715	-0.170477021737936	-0.153025230720712	0.632550796424065	-0.22198658770862	1.13409009800807	1.20105535440021	0.940288069018586	-0.958446141010785	0.474511589931084	-0.852577142140665	-0.306971569088546	1.27388915415147	1.20105535440021	1.01352217269844	1.01352217269844	0.876855580764115	0.512775873815053	1.44432118724339	1.20105535440021	1.20105535440021	0.84252422406506	-1.54800280313833	-0.906134125372923	-0.0424881251859288	-0.958446141010785	1.13409009800807	1.20105535440021	0.742325164273096
"15Oki09"	2015	"Acropora"	"aff."	"cytherea"	"Testing"	5.640684974	9.038802331	1.420735509	0.046475054	7.859412531	3.317221744	-0.726977354	0.630632107	0.754644536	0.61032447	1.232040288	-1.21619507654006	0.128576056249963	-0.233174612410648	-0.674489750196082	-0.345058369600014	-0.808298233997379	-0.0300797422156234	0.817814417020017	0.790230822834993	0.619991468596173	0.684517234357889	0.187394478615095	0.906134125372923	0.187394478615095	0.92247987574607	0.292021389082961	-0.187394478615095	0.118835850403299	-0.0169374873298715	0.084784857149159	1.12090769476879	-0.22198658770862	-0.0508319147368236	0.0960611777341072	-0.044678893317763	-0.0508319147368236	0.084784857149159	0.632550796424065	0.0169374873298716	0.728822966309193	-0.292021389082961	0.0169374873298716	0.0169374873298716	0.0169374873298716	1.8240972428259	-0.118835850403299	-1.82787997146209	1.54179254344828	-0.153025230720712	-0.0169374873298715	0.084784857149159	0.436598973911344
"15Oki10"	2015	"Acropora"	"aff."	"cytherea"	"Testing"	6.147144007	8.447726172	1.961401723	0.124444926	7.908402997	3.21417024	-0.779675711	0.693022467	0.709965071	0.588644803	1.315022192	1.88661389444717	0.188380634540037	0.513823771841835	-1.44432118724339	0.249226779965957	-0.292021389082961	1.20411988359491	1.16729654604473	0.264001835218665	-0.0358376420901139	1.10856392424244	-0.187394478615095	0.808298233997379	-0.187394478615095	0.755445471652262	0.327561490075168	0.0169374873298716	0.327561490075168	0.0169374873298716	0.22198658770862	-0.0487790679828742	0.153025230720712	-1.67164373801575	0.637087150307912	-0.872225995358125	-0.084784857149159	0.118835850403299	0.36352034712513	0.292021389082961	0.825706141831705	0.399955641095474	-0.0508319147368236	0.0508319147368236	0.118835850403299	1.07804193426314	0.0169374873298716	-1.13409009800807	1.77222639037839	-0.118835850403299	-0.0508319147368236	0.187394478615095	0.412715857088617
"15Oki11"	2015	"Acropora"	"aff."	"hyacinthus"	"Testing"	5.183740493	8.450280902	1.444560649	0.175945382	7.964418794	3.283597429	-0.643127956	0.740717786	0.79828751	0.644509407	1.268569995	0.773814674993102	0.834939377202588	0.592059522605675	-0.551806284538574	0.0945385543817271	-0.632550796424065	-0.244948721335586	1.25633506391689	1.57650047760059	0.398046619187384	0.869218829901565	0.36352034712513	0.632550796424065	0.436929934194168	0.4346161075962	0.399955641095474	-0.856191448532455	0.591696181440478	0.153025230720712	0.292021389082961	0.471159745455449	-0.0508319147368236	-1.54800280313833	-0.00222613696531038	-0.843685077393208	0.118835850403299	0.327561490075168	1.27388915415147	0.084784857149159	1.15628776702009	1.20105535440021	-0.118835850403299	0.153025230720712	0.25684646731159	0.331387180841662	-0.25684646731159	-0.327561490075168	0.845717482390631	-0.25684646731159	0.22198658770862	0.399955641095474	0.62627947078921
